IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
MALARIA_IRS_COVERAGE,Number of people protected from malaria by indoor residual spraying (IRS),numeric,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2020,true,,,,,,,,,,,,,,,,,,,,,,EN,2022-02-03T05:00:00.000Z
MALARIA_IRS_COVERAGE,Number of people protected from malaria by indoor residual spraying (IRS),numeric,AFR,Africa,Country,DZA,Algeria,Year,2020,true,,,,,,,,,,,,,,,,,,,,,,EN,2022-02-03T05:00:00.000Z
MALARIA_IRS_COVERAGE,Number of people protected from malaria by indoor residual spraying (IRS),numeric,AMR,Americas,Country,ARG,Argentina,Year,2020,true,,,,,,,,,,,,,,,,,,,,,,EN,2022-02-03T05:00:00.000Z
MALARIA_IRS_COVERAGE,Number of people protected from malaria by indoor residual spraying (IRS),numeric,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2020,true,,,,,,,,,,,,,,,,,,,,,,EN,2022-02-03T05:00:00.000Z
MALARIA_IRS_COVERAGE,Number of people protected from malaria by indoor residual spraying (IRS),numeric,WPR,Western Pacific,Country,KHM,Cambodia,Year,2020,true,,,,,,,,,,,,,,,,,,,,,,EN,2022-02-03T05:00:00.000Z
MALARIA_IRS_COVERAGE,Number of people protected from malaria by indoor residual spraying (IRS),numeric,AFR,Africa,Country,CMR,Cameroon,Year,2020,true,,,,,,,,,,,,,,,,,,,,,,EN,2022-02-03T05:00:00.000Z
MALARIA_IRS_COVERAGE,Number of people protected from malaria by indoor residual spraying (IRS),numeric,AFR,Africa,Country,CAF,Central African Republic,Year,2020,true,,,,,,,,,,,,,,,,,,,,,,EN,2022-02-03T05:00:00.000Z
MALARIA_IRS_COVERAGE,Number of people protected from malaria by indoor residual spraying (IRS),numeric,AMR,Americas,Country,COL,Colombia,Year,2020,true,,,,,,,,,,,,,,,,,,,,,,EN,2022-02-03T05:00:00.000Z
MALARIA_IRS_COVERAGE,Number of people protected from malaria by indoor residual spraying (IRS),numeric,AFR,Africa,Country,COG,Congo,Year,2020,true,,,,,,,,,,,,,,,,,,,,,,EN,2022-02-03T05:00:00.000Z
MALARIA_IRS_COVERAGE,Number of people protected from malaria by indoor residual spraying (IRS),numeric,AFR,Africa,Country,COD,Democratic Republic of the Congo,Year,2020,true,,,,,,,,,,,,,,,,,,,,,,EN,2022-02-03T05:00:00.000Z
MALARIA_IRS_COVERAGE,Number of people protected from malaria by indoor residual spraying (IRS),numeric,AFR,Africa,Country,GNQ,Equatorial Guinea,Year,2020,true,,,,,,,,,,,,,,,,,,,,,,EN,2022-02-03T05:00:00.000Z
MALARIA_IRS_COVERAGE,Number of people protected from malaria by indoor residual spraying (IRS),numeric,AFR,Africa,Country,GAB,Gabon,Year,2020,true,,,,,,,,,,,,,,,,,,,,,,EN,2022-02-03T05:00:00.000Z
MALARIA_IRS_COVERAGE,Number of people protected from malaria by indoor residual spraying (IRS),numeric,AFR,Africa,Country,GIN,Guinea,Year,2020,true,,,,,,,,,,,,,,,,,,,,,,EN,2022-02-03T05:00:00.000Z
MALARIA_IRS_COVERAGE,Number of people protected from malaria by indoor residual spraying (IRS),numeric,AFR,Africa,Country,GNB,Guinea-Bissau,Year,2020,true,,,,,,,,,,,,,,,,,,,,,,EN,2022-02-03T05:00:00.000Z
MALARIA_IRS_COVERAGE,Number of people protected from malaria by indoor residual spraying (IRS),numeric,AMR,Americas,Country,GUY,Guyana,Year,2020,true,,,,,,,,,,,,,,,,,,,,,,EN,2022-02-03T05:00:00.000Z
MALARIA_IRS_COVERAGE,Number of people protected from malaria by indoor residual spraying (IRS),numeric,AMR,Americas,Country,HTI,Haiti,Year,2020,true,,,,,,,,,,,,,,,,,,,,,,EN,2022-02-03T05:00:00.000Z
MALARIA_IRS_COVERAGE,Number of people protected from malaria by indoor residual spraying (IRS),numeric,AFR,Africa,Country,LBR,Liberia,Year,2020,true,,,,,,,,,,,,,,,,,,,,,,EN,2022-02-03T05:00:00.000Z
MALARIA_IRS_COVERAGE,Number of people protected from malaria by indoor residual spraying (IRS),numeric,AFR,Africa,Country,MRT,Mauritania,Year,2020,true,,,,,,,,,,,,,,,,,,,,,,EN,2022-02-03T05:00:00.000Z
MALARIA_IRS_COVERAGE,Number of people protected from malaria by indoor residual spraying (IRS),numeric,AFR,Africa,Country,NER,Niger,Year,2020,true,,,,,,,,,,,,,,,,,,,,,,EN,2022-02-03T05:00:00.000Z
MALARIA_IRS_COVERAGE,Number of people protected from malaria by indoor residual spraying (IRS),numeric,AFR,Africa,Country,NGA,Nigeria,Year,2020,true,,,,,,,,,,,,,,,,,,,,,,EN,2022-02-03T05:00:00.000Z
MALARIA_IRS_COVERAGE,Number of people protected from malaria by indoor residual spraying (IRS),numeric,AMR,Americas,Country,PRY,Paraguay,Year,2020,true,,,,,,,,,,,,,,,,,,,,,,EN,2022-02-03T05:00:00.000Z
MALARIA_IRS_COVERAGE,Number of people protected from malaria by indoor residual spraying (IRS),numeric,AMR,Americas,Country,PER,Peru,Year,2020,true,,,,,,,,,,,,,,,,,,,,,,EN,2022-02-03T05:00:00.000Z
MALARIA_IRS_COVERAGE,Number of people protected from malaria by indoor residual spraying (IRS),numeric,WPR,Western Pacific,Country,KOR,Republic of Korea,Year,2020,true,,,,,,,,,,,,,,,,,,,,,,EN,2022-02-03T05:00:00.000Z
MALARIA_IRS_COVERAGE,Number of people protected from malaria by indoor residual spraying (IRS),numeric,AFR,Africa,Country,RWA,Rwanda,Year,2020,true,,,,,,,,,,,,,,,,,,,,,,EN,2022-02-03T05:00:00.000Z
MALARIA_IRS_COVERAGE,Number of people protected from malaria by indoor residual spraying (IRS),numeric,AFR,Africa,Country,SLE,Sierra Leone,Year,2020,true,,,,,,,,,,,,,,,,,,,,,,EN,2022-02-03T05:00:00.000Z
MALARIA_IRS_COVERAGE,Number of people protected from malaria by indoor residual spraying (IRS),numeric,WPR,Western Pacific,Country,SLB,Solomon Islands,Year,2020,true,,,,,,,,,,,,,,,,,,,,,,EN,2022-02-03T05:00:00.000Z
MALARIA_IRS_COVERAGE,Number of people protected from malaria by indoor residual spraying (IRS),numeric,AFR,Africa,Country,SSD,South Sudan,Year,2020,true,,,,,,,,,,,,,,,,,,,,,,EN,2022-02-03T05:00:00.000Z
MALARIA_IRS_COVERAGE,Number of people protected from malaria by indoor residual spraying (IRS),numeric,AMR,Americas,Country,SUR,Suriname,Year,2020,true,,,,,,,,,,,,,,,,,,,,,,EN,2022-02-03T05:00:00.000Z
MALARIA_IRS_COVERAGE,Number of people protected from malaria by indoor residual spraying (IRS),numeric,AFR,Africa,Country,TGO,Togo,Year,2020,true,,,,,,,,,,,,,,,,,,,,,,EN,2022-02-03T05:00:00.000Z
MALARIA_IRS_COVERAGE,Number of people protected from malaria by indoor residual spraying (IRS),numeric,WPR,Western Pacific,Country,VUT,Vanuatu,Year,2020,true,,,,,,,,,,,,,,,,,,,,,,EN,2022-02-03T05:00:00.000Z
MALARIA_IRS_COVERAGE,Number of people protected from malaria by indoor residual spraying (IRS),numeric,AMR,Americas,Country,VEN,Venezuela (Bolivarian Republic of),Year,2020,true,,,,,,,,,,,,,,,,,,,,,,EN,2022-02-03T05:00:00.000Z
MALARIA_IRS_COVERAGE,Number of people protected from malaria by indoor residual spraying (IRS),numeric,AFR,Africa,Country,NAM,Namibia,Year,2020,true,,,,,,,,,,,,,1017366,,,,,,1 017 366,,,EN,2022-02-03T05:00:00.000Z
MALARIA_IRS_COVERAGE,Number of people protected from malaria by indoor residual spraying (IRS),numeric,AFR,Africa,Country,BEN,Benin,Year,2020,true,,,,,,,,,,,,,1104928,,,,,,1 104 928,,,EN,2022-02-03T05:00:00.000Z
MALARIA_IRS_COVERAGE,Number of people protected from malaria by indoor residual spraying (IRS),numeric,AFR,Africa,Country,BDI,Burundi,Year,2020,true,,,,,,,,,,,,,1243848,,,,,,1 243 848,,,EN,2022-02-03T05:00:00.000Z
MALARIA_IRS_COVERAGE,Number of people protected from malaria by indoor residual spraying (IRS),numeric,AFR,Africa,Country,TCD,Chad,Year,2020,true,,,,,,,,,,,,,1707286,,,,,,1 707 286,,,EN,2022-02-03T05:00:00.000Z
MALARIA_IRS_COVERAGE,Number of people protected from malaria by indoor residual spraying (IRS),numeric,AFR,Africa,Country,KEN,Kenya,Year,2020,true,,,,,,,,,,,,,1792495,,,,,,1 792 495,,,EN,2022-02-03T05:00:00.000Z
